Time,Symbol,Pattern,Direction,Entry,TP,SL,RR,Command
2025-07-14 15:24:35,ETHUSDT,RSI Oversold Bounce,bullish,3023.7,3174.88,2963.23,2.5,bullish
2025-07-14 15:24:37,DOGEUSDT,RSI Oversold Bounce,bullish,0.2,0.21,0.2,2.5,bullish
2025-07-14 15:24:41,ATOMUSDT,RSI Oversold Bounce,bullish,4.64,4.88,4.55,2.5,bullish
2025-07-14 15:45:44,BTCUSDT,EMA Bearish Crossover,bearish,119954.0,113956.3,122353.08,2.5,bearish
2025-07-14 15:45:46,BNBUSDT,EMA Bearish Crossover,bearish,694.07,659.37,707.95,2.5,bearish
2025-07-14 15:45:51,LTCUSDT,EMA Bearish Crossover,bearish,95.73,90.94,97.64,2.5,bearish
2025-07-14 15:48:45,BTCUSDT,EMA Bearish Crossover,bearish,119840.1,113848.1,122236.9,2.5,bearish
2025-07-14 15:48:48,BNBUSDT,EMA Bearish Crossover,bearish,692.83,658.19,706.69,2.5,bearish
2025-07-14 15:48:52,LTCUSDT,EMA Bearish Crossover,bearish,95.55,90.77,97.46,2.5,bearish
2025-07-14 15:50:31,BTCUSDT,EMA Bearish Crossover,bearish,119778.9,113789.95,122174.48,2.5,bearish
2025-07-14 15:50:35,BNBUSDT,EMA Bearish Crossover,bearish,692.75,658.11,706.6,2.5,bearish
2025-07-14 15:50:39,LTCUSDT,EMA Bearish Crossover,bearish,95.42,90.65,97.33,2.5,bearish
2025-07-14 16:09:31,AVAXUSDT,EMA Bearish Crossover,bearish,21.38,20.31,21.81,2.5,bearish
2025-07-14 16:09:37,AVAXUSDT,EMA Bearish Crossover,bearish,21.37,20.3,21.8,2.5,bearish
2025-07-14 16:09:51,AVAXUSDT,EMA Bearish Crossover,bearish,21.39,20.32,21.82,2.5,bearish
